Tweeturl,Username,Tweet,ReplyUsername,Replies
https://twitter.com/SHEIN_Official/status/1678863777217871872,"SHEIN
@SHEIN_Official
·
Jun 30","Neue Ideen für Damenmode, das Augenmerk auf Qualität
Hauchen Sie Ihrem Stil neues Leben ein
Unglaubliche Rabatte, die du dir nicht entgehen lassen darfst!","Dealicia Models
@Dealiciamodels
·
Jul 11",
https://twitter.com/SHEIN_Official/status/1678863777217871872,"SHEIN
@SHEIN_Official
·
Jun 30","Neue Ideen für Damenmode, das Augenmerk auf Qualität
Hauchen Sie Ihrem Stil neues Leben ein
Unglaubliche Rabatte, die du dir nicht entgehen lassen darfst!","Dealicia Models
@Dealiciamodels
·
Jul 11",
https://twitter.com/SHEIN_Official/status/1678943323397005312,"SHEIN
@SHEIN_Official
·
May 29","This price is as low as it gets, shop quick!
So Many Options
Shop looks you love at SHEIN","Kokob Yowhans
@YowhansKok98305
·
Jul 9",Good
https://twitter.com/SHEIN_Official/status/1678943323397005312,"SHEIN
@SHEIN_Official
·
May 29","This price is as low as it gets, shop quick!
So Many Options
Shop looks you love at SHEIN","Kokob Yowhans
@YowhansKok98305
·
Jul 9",Good
https://twitter.com/SHEIN_Official/status/1679263244416892929,"Tia Mowry
@Pretty_Lil_Mz
·
Jul 12","Somebody tell 
@SHEIN_Official
  to fix their pop up form",,
https://twitter.com/SHEIN_Official/status/1679217156188258304,"Nieceydash
@Nieceydashz87
·
Jul 12","@SHEIN_Official
 someone stole my cousin package and the AUDACITY OF YALL TO ACT AS IF YOU DONT CARE!!",,
https://twitter.com/SHEIN_Official/status/1679217656832880641,"LR.
@laelre_
·
Jul 12","@SHEIN_Official
 I’m still waiting on an order I placed on 17th June. I’ve emailed and used the chatbot for help to no avail. Please can you help?",,
https://twitter.com/SHEIN_Official/status/1679601588913029122,"SHEIN
@SHEIN_Official
·
Jun 23","New ideas for women's wear, wear on quality
This price is as low as it gets, shop quick!
FREE Shipping","Arlene Platt
@504biggins
·
Jul 13",I just received my 3 items and the Swim party is this Saturday…. OMG! Everything is so Beautiful and fit very well.
https://twitter.com/SHEIN_Official/status/1679601588913029122,"SHEIN
@SHEIN_Official
·
Jun 23","New ideas for women's wear, wear on quality
This price is as low as it gets, shop quick!
FREE Shipping","Arlene Platt
@504biggins
·
Jul 13",I just received my 3 items and the Swim party is this Saturday…. OMG! Everything is so Beautiful and fit very well.
https://twitter.com/SHEIN_Official/status/1679627133130268673,"SHEIN
@SHEIN_Official
·
Jun 23","New ideas for women's wear, wear on quality
This price is as low as it gets, shop quick!
FREE Shipping","Sara Lynn Waugh
@SaraLynn91787
·
Jul 14",So pretty and cute 
