updated_at;event_type;external_user_id;time;timezone;campaign_id;campaign_name;message_variation_id;canvas_id;canvas_name;canvas_variation_id;canvas_variation_name;canvas_step_id;canvas_step_name;send_id;dispatch_id;ip_pool
2022-10-19T15:34:08;users_messages_email_Unsubscribe;bcDpH26Nb;1666193621;Europe/Paris;NULL;NULL;NULL;b6ac6fc3-3903-4e2d-9582-a8e48efe1c55;PREV_churn-otherclt_v2;cc8bb31e-5586-4656-a8b6-e122c8f738fe;PREV_churn-otherclt_v2;d5c1d31d-b444-40fc-adaf-4086a912773d;PREV_Email-1_other;NULL;635018127c2bf4a14da90d51ac2139e8;NULL
2022-10-19T16:45:36;users_messages_email_Unsubscribe;dbArQ0lzH;1666197812;Europe/Paris;d051b691-74ac-4cf0-995b-872be6de7256;191022_PROM_S42_E_v1;129dc5dc-fc0b-40b3-a149-d4fb0e59bfdb;NULL;NULL;NULL;NULL;NULL;NULL;NULL;634fc399b5a8d7f5ea1433c8ede68bd3;NULL
2022-10-19T18:27:19;users_messages_email_Unsubscribe;n9eRx8PGq;1666203847;Europe/Paris;d051b691-74ac-4cf0-995b-872be6de7256;191022_PROM_S42_E_v1;129dc5dc-fc0b-40b3-a149-d4fb0e59bfdb;NULL;NULL;NULL;NULL;NULL;NULL;NULL;634fc399b5a8d7f5ea1433c8ede68bd3;NULL
2022-10-19T22:18:44;users_messages_email_Unsubscribe;YqiUAIr4Z;1666217789;Europe/Paris;d051b691-74ac-4cf0-995b-872be6de7256;191022_PROM_S42_E_v1;129dc5dc-fc0b-40b3-a149-d4fb0e59bfdb;NULL;NULL;NULL;NULL;NULL;NULL;NULL;634fc399b5a8d7f5ea1433c8ede68bd3;NULL
2022-10-19T19:33:25;users_messages_email_Unsubscribe;ltLLohWoh;1666207905;Europe/Paris;NULL;NULL;NULL;67b96876-5f66-4fb8-a2e3-cdc577087715;WELC_v1;56266747-281e-483a-b9f0-df8a9c975455;WELC;9b391226-5719-4551-bf31-316a88c1c17b;WELC_1j_email1;NULL;63502d2435238f2f128bfde1f6779fd6;NULL
2022-10-20T09:03:56;users_messages_email_Unsubscribe;gVA4PHMgu;1666256399;NULL;d051b691-74ac-4cf0-995b-872be6de7256;191022_PROM_S42_E_v1;129dc5dc-fc0b-40b3-a149-d4fb0e59bfdb;NULL;NULL;NULL;NULL;NULL;NULL;NULL;634fc399b5a8d7f5ea1433c8ede68bd3;NULL
2022-10-20T16:05:54;users_messages_email_Unsubscribe;QvifV_umz;1666281805;Europe/Paris;NULL;NULL;NULL;3830b844-1ec3-43f2-84fc-ad718cec5bc8;PROS_cptesanscde_v2;4ad8b9bd-cc9d-42b1-a9b7-6613d34fb562;Variant 1;6ff2f419-49a0-411a-9809-3d81644886d5;PROS_Email-email1;NULL;63512dca5a00037ec9b27057b7de233f;NULL
2022-10-21T09:25:40;users_messages_email_Unsubscribe;AKTDbTAYB;1666344082;NULL;NULL;NULL;NULL;758841f1-8b77-48bd-a43d-7ac15d569c48;211022_NEWS_Courges_M_V1;d3f3a69c-30a0-43f0-975b-a935313599e0;211022_NEWS_Courges_M_V1;9ec98f20-7b65-43f4-b3d9-7393decdc51a;211022_NEWS_Courges-FLtop_E_V1;NULL;63525fbe934cbee4d2ca35da3485eb9f;NULL
2022-10-21T09:22:40;users_messages_email_Unsubscribe;#NOM?;1666344026;Europe/Paris;NULL;NULL;NULL;4194b1a2-e675-48df-a984-58c4c4e6dd6d;211022_NEWS_Courges-reac_M_V1;548fc503-d4b7-4295-9c9e-40a1b5c2f76b;211022_NEWS_Courges-reac_M_V1;d7ed7907-2e91-4946-adc1-3ccfa68886d9;211022_NEWS_Courges-winb_E_V1;NULL;63525fb68bd1284fc190c15900b92040;NULL
2022-10-21T09:05:19;users_messages_email_Unsubscribe;pZFZOg4w_;1666342885;Europe/Paris;NULL;NULL;NULL;758841f1-8b77-48bd-a43d-7ac15d569c48;211022_NEWS_Courges_M_V1;d3f3a69c-30a0-43f0-975b-a935313599e0;211022_NEWS_Courges_M_V1;9ec98f20-7b65-43f4-b3d9-7393decdc51a;211022_NEWS_Courges-FLtop_E_V1;NULL;63525fb7773dd4b30b568d2119ceb653;NULL
2022-10-21T09:10:20;users_messages_email_Unsubscribe;Xsyk6DvSfM;1666343134;Europe/Paris;NULL;NULL;NULL;758841f1-8b77-48bd-a43d-7ac15d569c48;211022_NEWS_Courges_M_V1;d3f3a69c-30a0-43f0-975b-a935313599e0;211022_NEWS_Courges_M_V1;cf42395a-a422-416e-a2bb-efd5f05e3e84;211022_NEWS_Courges-pdt_E_V1;NULL;63525fbd7e85652cb4fd980abda63ac6;NULL
2022-10-21T09:12:33;users_messages_email_Unsubscribe;80cWPdI7r;1666343431;Europe/Berlin;NULL;NULL;NULL;758841f1-8b77-48bd-a43d-7ac15d569c48;211022_NEWS_Courges_M_V1;d3f3a69c-30a0-43f0-975b-a935313599e0;211022_NEWS_Courges_M_V1;4cec9242-08aa-47e9-b592-6548d57926b2;211022_NEWS_Courges-FLautres_E_V1;NULL;63525fd0d6a98d65e5e249154cf06aa4;NULL
2022-10-21T09:15:30;users_messages_email_Unsubscribe;BmvfxnhJF;1666343591;Europe/Paris;NULL;NULL;NULL;758841f1-8b77-48bd-a43d-7ac15d569c48;211022_NEWS_Courges_M_V1;d3f3a69c-30a0-43f0-975b-a935313599e0;211022_NEWS_Courges_M_V1;9ec98f20-7b65-43f4-b3d9-7393decdc51a;211022_NEWS_Courges-FLtop_E_V1;NULL;63525fa53ba1fd0350a7242805825d2e;NULL
2022-10-21T09:30:50;users_messages_email_Unsubscribe;PG5M-yF-1;1666344394;Europe/Paris;NULL;NULL;NULL;758841f1-8b77-48bd-a43d-7ac15d569c48;211022_NEWS_Courges_M_V1;d3f3a69c-30a0-43f0-975b-a935313599e0;211022_NEWS_Courges_M_V1;9ec98f20-7b65-43f4-b3d9-7393decdc51a;211022_NEWS_Courges-FLtop_E_V1;NULL;63525fcea225f410a3b81b19f877658e;NULL
2022-10-21T09:42:58;users_messages_email_Unsubscribe;knUWe6rql;1666345099;Europe/Paris;NULL;NULL;NULL;758841f1-8b77-48bd-a43d-7ac15d569c48;211022_NEWS_Courges_M_V1;d3f3a69c-30a0-43f0-975b-a935313599e0;211022_NEWS_Courges_M_V1;cf42395a-a422-416e-a2bb-efd5f05e3e84;211022_NEWS_Courges-pdt_E_V1;NULL;63525fb7339664b6b6854acf28171a97;NULL
2022-10-21T09:58:10;users_messages_email_Unsubscribe;4_ZMwGe35;1666345987;Europe/Paris;NULL;NULL;NULL;758841f1-8b77-48bd-a43d-7ac15d569c48;211022_NEWS_Courges_M_V1;d3f3a69c-30a0-43f0-975b-a935313599e0;211022_NEWS_Courges_M_V1;9ec98f20-7b65-43f4-b3d9-7393decdc51a;211022_NEWS_Courges-FLtop_E_V1;NULL;63525febbfafee60b0142d8eb96082bf;NULL
2022-10-21T10:08:16;users_messages_email_Unsubscribe;Ho8Ih3LJi;1666346838;Europe/Paris;NULL;NULL;NULL;758841f1-8b77-48bd-a43d-7ac15d569c48;211022_NEWS_Courges_M_V1;d3f3a69c-30a0-43f0-975b-a935313599e0;211022_NEWS_Courges_M_V1;4cec9242-08aa-47e9-b592-6548d57926b2;211022_NEWS_Courges-FLautres_E_V1;NULL;63525fb6eb3738da416112f5c2004711;NULL
2022-10-21T11:07:21;users_messages_email_Unsubscribe;39NWgRZQM;1666350305;Europe/Paris;NULL;NULL;NULL;758841f1-8b77-48bd-a43d-7ac15d569c48;211022_NEWS_Courges_M_V1;d3f3a69c-30a0-43f0-975b-a935313599e0;211022_NEWS_Courges_M_V1;9ec98f20-7b65-43f4-b3d9-7393decdc51a;211022_NEWS_Courges-FLtop_E_V1;NULL;63525fadf1b5a5e2bb47eeeb87dfb0e0;NULL
2022-10-21T11:40:12;users_messages_email_Unsubscribe;knUWe6rql;1666352121;Europe/Paris;NULL;NULL;NULL;758841f1-8b77-48bd-a43d-7ac15d569c48;211022_NEWS_Courges_M_V1;d3f3a69c-30a0-43f0-975b-a935313599e0;211022_NEWS_Courges_M_V1;cf42395a-a422-416e-a2bb-efd5f05e3e84;211022_NEWS_Courges-pdt_E_V1;NULL;63525fb7339664b6b6854acf28171a97;NULL
2022-10-21T12:02:11;users_messages_email_Unsubscribe;ohQAvdis_;1666353641;Europe/Paris;NULL;NULL;NULL;758841f1-8b77-48bd-a43d-7ac15d569c48;211022_NEWS_Courges_M_V1;d3f3a69c-30a0-43f0-975b-a935313599e0;211022_NEWS_Courges_M_V1;9ec98f20-7b65-43f4-b3d9-7393decdc51a;211022_NEWS_Courges-FLtop_E_V1;NULL;63525fc9f1108950762eb6f380de200a;NULL
2022-10-21T12:07:14;users_messages_email_Unsubscribe;6Tki5rU0e;1666353964;Europe/Paris;NULL;NULL;NULL;758841f1-8b77-48bd-a43d-7ac15d569c48;211022_NEWS_Courges_M_V1;d3f3a69c-30a0-43f0-975b-a935313599e0;211022_NEWS_Courges_M_V1;cf42395a-a422-416e-a2bb-efd5f05e3e84;211022_NEWS_Courges-pdt_E_V1;NULL;63525fcc54f1be1ed5fe23d72947ef90;NULL
2022-10-21T12:35:44;users_messages_email_Unsubscribe;w10LirXzyow;1666355621;NULL;NULL;NULL;NULL;3086c20b-6c15-4048-b4b5-8b82f57ca9ca;190822_ATEL_Vincennes-fullzone;02ff9800-cb77-4448-8e22-5a6c11148a14;190822_ATEL_Vincennes;fc996a4a-c80e-4293-b545-1d1318bd1fa9;190822_ATEL_Email-1_legacy;NULL;62ffac90de12e2e49068377bf7c09b03;NULL
2022-10-21T12:52:19;users_messages_email_Unsubscribe;OCOEvznM_;1666356645;Europe/Paris;NULL;NULL;NULL;758841f1-8b77-48bd-a43d-7ac15d569c48;211022_NEWS_Courges_M_V1;d3f3a69c-30a0-43f0-975b-a935313599e0;211022_NEWS_Courges_M_V1;9ec98f20-7b65-43f4-b3d9-7393decdc51a;211022_NEWS_Courges-FLtop_E_V1;NULL;63525faaa3232378c371340d52d33654;NULL
2022-10-21T15:29:58;users_messages_email_Unsubscribe;9qwJ09aZ-;1666366007;NULL;NULL;NULL;NULL;758841f1-8b77-48bd-a43d-7ac15d569c48;211022_NEWS_Courges_M_V1;d3f3a69c-30a0-43f0-975b-a935313599e0;211022_NEWS_Courges_M_V1;9ec98f20-7b65-43f4-b3d9-7393decdc51a;211022_NEWS_Courges-FLtop_E_V1;NULL;63525fbbc9e25fc30f52d1d5d4b770b7;NULL
