title,overview,rating,genre,Tokenized_Overview
strange world,a journey deep into an uncharted and treacherous land  where fantastical creatures await the legendary clades a family of explorers whose differences threaten to topple their latest  and by far most crucial  mission ,66.0,  animation    science fiction    adventure    family  ,"['journey', 'deep', 'unchart', 'treacher', 'land', 'fantast', 'creatur', 'await', 'legendari', 'clade', 'famili', 'explor', 'whose', 'differ', 'threaten', 'toppl', 'latest', 'far', 'crucial', 'mission']"
r.i.p.d. 2: rise of the damned,when sheriff roy pulsipher finds himself in the afterlife  he joins a special police force and returns to earth to save humanity from the undead ,66.0,  fantasy    action    comedy    crime  ,"['sheriff', 'roy', 'pulsiph', 'find', 'afterlif', 'join', 'special', 'polic', 'forc', 'return', 'earth', 'save', 'human', 'undead']"
hex,following a mysterious disappearance on a jump  a group of skydivers experiences paranormal occurrences that leave them fighting for their lives ,59.0,  action    horror    thriller  ,"['follow', 'mysteri', 'disappear', 'jump', 'group', 'skydiv', 'experi', 'paranorm', 'occurr', 'leav', 'fight', 'live']"
sniper: the white raven,mykola is an eccentric pacifist who wants to be useful to humanity  when the war begins at donbass  mykola s naive world is collapsing as the militants kill his pregnant wife and burn his home to the ground  recovered  he makes a cardinal decision and gets enlisted in a sniper company  having met his wife s killers  he emotionally breaks down and arranges  sniper terror  for the enemy  he s saved from a senseless death by his instructor who himself gets mortally wounded  the death of a friend leaves a  scar  and mykola is ready to sacrifice his life ,77.0,  war    action    drama  ,"['mykola', 'eccentr', 'pacifist', 'want', 'use', 'human', 'war', 'begin', 'donbass', 'mykola', 'naiv', 'world', 'collaps', 'milit', 'kill', 'pregnant', 'wife', 'burn', 'home', 'ground', 'recov', 'make', 'cardin', 'decis', 'get', 'enlist', 'sniper', 'compani', 'met', 'wife', 'killer', 'emot', 'break', 'arrang', 'sniper', 'terror', 'enemi', 'save', 'senseless', 'death', 'instructor', 'get', 'mortal', 'wound', 'death', 'friend', 'leav', 'scar', 'mykola', 'readi', 'sacrific', 'life']"
the key game,laura has been with antonio all her life and  just when she begins to wonder if that is really the life she wants  sergio and siena cross paths in their lives  sergio is a former high school classmate and siena  his millennial girlfriend who arrives to revolutionize everyone s lives  laura  raquel and cris  close friends for years  convince their respective husbands to play a game that siena proposes to them  the game of keys  the game consists of everyone putting their keys in a bowl  at random  each one chooses some keys and he must go to spend the night with the owner of the keys  this game will revolutionize the group of friends and their lives  it will make them discover who they are and what they really want ,57.0,  comedy  ,"['laura', 'antonio', 'life', 'begin', 'wonder', 'realli', 'life', 'want', 'sergio', 'siena', 'cross', 'path', 'live', 'sergio', 'former', 'high', 'school', 'classmat', 'siena', 'millenni', 'girlfriend', 'arriv', 'revolution', 'everyon', 'live', 'laura', 'raquel', 'cri', 'close', 'friend', 'year', 'convinc', 'respect', 'husband', 'play', 'game', 'siena', 'propos', 'game', 'key', 'game', 'consist', 'everyon', 'put', 'key', 'bowl', 'random', 'one', 'choos', 'key', 'must', 'go', 'spend', 'night', 'owner', 'key', 'game', 'revolution', 'group', 'friend', 'live', 'make', 'discov', 'realli', 'want']"
the boss baby: christmas bonus,christmas eve takes a twisty turn when the boss baby accidentally swaps places with one of santa s elves and gets stranded at the north pole ,67.0,  animation    family    adventure  ,"['christma', 'eve', 'take', 'twisti', 'turn', 'boss', 'babi', 'accident', 'swap', 'place', 'one', 'santa', 'elv', 'get', 'strand', 'north', 'pole']"
women in fury,the young  pretty and shy angela duvall is jailed for murder in some latin american country  in the prison she gets brutally  initiated  by the other inmates  the nice  honest and handsome prison doctor believe she s innocent and tries to help her out ,47.0,  action    drama  ,"['young', 'pretti', 'shi', 'angela', 'duval', 'jail', 'murder', 'latin', 'american', 'countri', 'prison', 'get', 'brutal', 'initi', 'inmat', 'nice', 'honest', 'handsom', 'prison', 'doctor', 'believ', 'innoc', 'tri', 'help']"
wolf hound,inspired by the real life german special operations unit kg     that shot down  repaired  and flew allied aircraft as trojan horses   wolf hound  takes place in      german occupied france and follows the daring exploits of jewish american fighter pilot captain david holden  ambushed behind enemy lines  holden must rescue a captured b    flying fortress crew  evade a ruthless enemy stalking him at every turn  and foil a plot that could completely alter the outcome of world war ii ,57.0,  war    action  ,"['inspir', 'real', 'life', 'german', 'special', 'oper', 'unit', 'kg', 'shot', 'repair', 'flew', 'alli', 'aircraft', 'trojan', 'hors', 'wolf', 'hound', 'take', 'place', 'german', 'occupi', 'franc', 'follow', 'dare', 'exploit', 'jewish', 'american', 'fighter', 'pilot', 'captain', 'david', 'holden', 'ambush', 'behind', 'enemi', 'line', 'holden', 'must', 'rescu', 'captur', 'b', 'fli', 'fortress', 'crew', 'evad', 'ruthless', 'enemi', 'stalk', 'everi', 'turn', 'foil', 'plot', 'could', 'complet', 'alter', 'outcom', 'world', 'war', 'ii']"
jung_e,on an uninhabitable   nd century earth  the outcome of a civil war hinges on cloning the brain of an elite soldier to create a robot mercenary ,61.0,  science fiction    action    adventure  ,"['uninhabit', 'nd', 'centuri', 'earth', 'outcom', 'civil', 'war', 'hing', 'clone', 'brain', 'elit', 'soldier', 'creat', 'robot', 'mercenari']"
medieval,the story of   th century czech icon and warlord jan zizka who defeated armies of the teutonic order and the holy roman empire ,72.0,  history    action    drama  ,"['stori', 'th', 'centuri', 'czech', 'icon', 'warlord', 'jan', 'zizka', 'defeat', 'armi', 'teuton', 'order', 'holi', 'roman', 'empir']"
