title,overview,rating,genre,Tokenized_Overview
chained heat,linda blair plays carol  a young woman who must serve    months in prison after driving drunk and killing a man  the prison turns out to be brimming with decadence  corruption and sleaze  where the other female inmates are sadistic crack selling lesbian rapists and the guards and warden are no better ,52.0,  action    crime    drama    thriller  ,"['linda', 'blair', 'play', 'carol', 'young', 'woman', 'must', 'serv', 'month', 'prison', 'drive', 'drunk', 'kill', 'man', 'prison', 'turn', 'brim', 'decad', 'corrupt', 'sleaz', 'femal', 'inmat', 'sadist', 'crack', 'sell', 'lesbian', 'rapist', 'guard', 'warden', 'better']"
trigun: badlands rumble,in a quicksand surrounded town called makka  rumors spread of a legendary robber named gasback is after the town  to protect it  mayor kepler has hired bounty hunters  these hunters have been following gasback from town to town in hopes of getting the bounty  vash the stampede is in town  along with meryl and milly  along with the female bounty hunter amelia and nicholas d  wolfwood ,76.0,  action    animation    science fiction    adventure  ,"['quicksand', 'surround', 'town', 'call', 'makka', 'rumor', 'spread', 'legendari', 'robber', 'name', 'gasback', 'town', 'protect', 'mayor', 'kepler', 'hire', 'bounti', 'hunter', 'hunter', 'follow', 'gasback', 'town', 'town', 'hope', 'get', 'bounti', 'vash', 'stamped', 'town', 'along', 'meryl', 'milli', 'along', 'femal', 'bounti', 'hunter', 'amelia', 'nichola', 'wolfwood']"
takers,a seasoned team of bank robbers  including gordon jennings  john rahway  a j   and brothers jake and jesse attica successfully complete their latest heist and lead a life of luxury while planning their next job  when ghost  a former member of their team  is released from prison he convinces the group to strike an armored car carrying     million  as the  takers  carefully plot out their strategy and draw nearer to exacting the grand heist  a reckless police officer inches closer to apprehending the criminals ,62.0,  action    crime    drama    thriller  ,"['season', 'team', 'bank', 'robber', 'includ', 'gordon', 'jen', 'john', 'rahway', 'j', 'brother', 'jake', 'jess', 'attica', 'success', 'complet', 'latest', 'heist', 'lead', 'life', 'luxuri', 'plan', 'next', 'job', 'ghost', 'former', 'member', 'team', 'releas', 'prison', 'convinc', 'group', 'strike', 'armor', 'car', 'carri', 'million', 'taker', 'care', 'plot', 'strategi', 'draw', 'nearer', 'exact', 'grand', 'heist', 'reckless', 'polic', 'offic', 'inch', 'closer', 'apprehend', 'crimin']"
vampire hunter d: bloodlust,d has been hired to track down meier link  a notoriously powerful vampire who has abducted a woman  charlotte elbourne  d s orders are strict   find charlotte  at any cost  for the first time  d faces serious competition  the markus brothers  a family of vampire hunters  were hired for the same bounty  d must intercept meier and conquer hostile forces on all sides in a deadly race against time ,75.0,  animation    fantasy    horror    action  ,"['hire', 'track', 'meier', 'link', 'notori', 'power', 'vampir', 'abduct', 'woman', 'charlott', 'elbourn', 'order', 'strict', 'find', 'charlott', 'cost', 'first', 'time', 'face', 'seriou', 'competit', 'marku', 'brother', 'famili', 'vampir', 'hunter', 'hire', 'bounti', 'must', 'intercept', 'meier', 'conquer', 'hostil', 'forc', 'side', 'deadli', 'race', 'time']"
bang dream! film live 2nd stage,bang dream  film live  nd stage is the second animated live movie for the bang dream  franchise and the sequel to bang dream  film live ,68.0,  animation    music    comedy  ,"['bang', 'dream', 'film', 'live', 'nd', 'stage', 'second', 'anim', 'live', 'movi', 'bang', 'dream', 'franchis', 'sequel', 'bang', 'dream', 'film', 'live']"
harakiri,down on his luck veteran tsugumo hanshir  enters the courtyard of the prosperous house of iyi  unemployed  and with no family  he hopes to find a place to commit seppuku and a worthy second to deliver the coup de gr ce in his suicide ritual  the senior counselor for the iyi clan questions the ronin s resolve and integrity  suspecting hanshir  of seeking charity rather than an honorable end  what follows is a pair of interlocking stories which lay bare the difference between honor and respect  and promises to examine the legendary foundations of the samurai code ,84.0,  action    drama    history  ,"['luck', 'veteran', 'tsugumo', 'hanshir', 'enter', 'courtyard', 'prosper', 'hous', 'iyi', 'unemploy', 'famili', 'hope', 'find', 'place', 'commit', 'seppuku', 'worthi', 'second', 'deliv', 'coup', 'de', 'gr', 'ce', 'suicid', 'ritual', 'senior', 'counselor', 'iyi', 'clan', 'question', 'ronin', 'resolv', 'integr', 'suspect', 'hanshir', 'seek', 'chariti', 'rather', 'honor', 'end', 'follow', 'pair', 'interlock', 'stori', 'lay', 'bare', 'differ', 'honor', 'respect', 'promis', 'examin', 'legendari', 'foundat', 'samurai', 'code']"
the guardian,a high school swim champion with a troubled past enrolls in the u s  coast guard s  a  school  where legendary rescue swimmer  ben randall teaches him some hard lessons about loss  love  and self sacrifice ,71.0,  drama    action  ,"['high', 'school', 'swim', 'champion', 'troubl', 'past', 'enrol', 'u', 'coast', 'guard', 'school', 'legendari', 'rescu', 'swimmer', 'ben', 'randal', 'teach', 'hard', 'lesson', 'loss', 'love', 'self', 'sacrific']"
the mean one,in a sleepy mountain town  cindy witnesses the murder of her parents by a blood thirsty green figure in a red santa suit  twenty years later  the christmas hating monster begins to terrorize the town once more  cindy finds new purpose in stopping the creature and saving the holiday ,84.0,  horror    comedy  ,"['sleepi', 'mountain', 'town', 'cindi', 'wit', 'murder', 'parent', 'blood', 'thirsti', 'green', 'figur', 'red', 'santa', 'suit', 'twenti', 'year', 'later', 'christma', 'hate', 'monster', 'begin', 'terror', 'town', 'cindi', 'find', 'new', 'purpos', 'stop', 'creatur', 'save', 'holiday']"
airplane ii: the sequel,a faulty computer causes a passenger space shuttle to head straight for the sun  and man with a past  ted striker must save the day and get the shuttle back on track   again   all the while trying to patch up his relationship with elaine ,61.0,  comedy  ,"['faulti', 'comput', 'caus', 'passeng', 'space', 'shuttl', 'head', 'straight', 'sun', 'man', 'past', 'ted', 'striker', 'must', 'save', 'day', 'get', 'shuttl', 'back', 'track', 'tri', 'patch', 'relationship', 'elain']"
in for a murder,a stay at home mom and avid reader of crime stories discovers the deepest secrets of a small town s residents while investigating a woman s murder ,63.0,  crime    comedy    science fiction  ,"['stay', 'home', 'mom', 'avid', 'reader', 'crime', 'stori', 'discov', 'deepest', 'secret', 'small', 'town', 'resid', 'investig', 'woman', 'murder']"
payback,with friends like these  who needs enemies  that s the question bad guy porter is left asking after his wife and partner steal his heist money and leave him for dead    or so they think  five months and an endless reservoir of bitterness later  porter s partners and the crooked cops on his tail learn how bad payback can be ,68.0,  crime    action    drama  ,"['friend', 'like', 'need', 'enemi', 'question', 'bad', 'guy', 'porter', 'left', 'ask', 'wife', 'partner', 'steal', 'heist', 'money', 'leav', 'dead', 'think', 'five', 'month', 'endless', 'reservoir', 'bitter', 'later', 'porter', 'partner', 'crook', 'cop', 'tail', 'learn', 'bad', 'payback']"
vice,julian michaels has designed the ultimate resort  vice  where anything goes and the customers can play out their wildest fantasies with artificial inhabitants who look  think and feel like humans  when an artificial becomes self aware and escapes  she finds herself caught in the crossfire between julian s mercenaries and a cop who is hell bent on shutting down vice  and stopping the violence once and for all ,44.0,  thriller    science fiction    action    adventure  ,"['julian', 'michael', 'design', 'ultim', 'resort', 'vice', 'anyth', 'goe', 'custom', 'play', 'wildest', 'fantasi', 'artifici', 'inhabit', 'look', 'think', 'feel', 'like', 'human', 'artifici', 'becom', 'self', 'awar', 'escap', 'find', 'caught', 'crossfir', 'julian', 'mercenari', 'cop', 'hell', 'bent', 'shut', 'vice', 'stop', 'violenc']"
charlotte's web,wilbur the pig is scared of the end of the season  because he knows that come that time  he will end up on the dinner table  he hatches a plan with charlotte  a spider that lives in his pen  to ensure that this will never happen ,62.0,  comedy    family    fantasy  ,"['wilbur', 'pig', 'scare', 'end', 'season', 'know', 'come', 'time', 'end', 'dinner', 'tabl', 'hatch', 'plan', 'charlott', 'spider', 'live', 'pen', 'ensur', 'never', 'happen']"
the way of the dragon,tang lung arrives in rome to help his cousins in the restaurant business  they are being pressured to sell their property to the syndicate  who will stop at nothing to get what they want  when tang arrives he poses a new threat to the syndicate  and they are unable to defeat him  the syndicate boss hires the best japanese and european martial artists to fight tang  but he easily finishes them off ,74.0,  action    crime  ,"['tang', 'lung', 'arriv', 'rome', 'help', 'cousin', 'restaur', 'busi', 'pressur', 'sell', 'properti', 'syndic', 'stop', 'noth', 'get', 'want', 'tang', 'arriv', 'pose', 'new', 'threat', 'syndic', 'unabl', 'defeat', 'syndic', 'boss', 'hire', 'best', 'japanes', 'european', 'martial', 'artist', 'fight', 'tang', 'easili', 'finish']"
shaun the sheep movie,when shaun decides to take the day off and have some fun  he gets a little more action than he bargained for  a mix up with the farmer  a caravan and a very steep hill lead them all to the big city and it s up to shaun and the flock to return everyone safely to the green grass of home ,70.0,  family    animation    comedy    adventure  ,"['shaun', 'decid', 'take', 'day', 'fun', 'get', 'littl', 'action', 'bargain', 'mix', 'farmer', 'caravan', 'steep', 'hill', 'lead', 'big', 'citi', 'shaun', 'flock', 'return', 'everyon', 'safe', 'green', 'grass', 'home']"
romancing the stone,though she can spin wild tales of passionate romance  novelist joan wilder has no life of her own  then one day adventure comes her way in the form of a mysterious package  it turns out that the parcel is the ransom she ll need to free her abducted sister  so joan flies to south america to hand it over  but she gets on the wrong bus and winds up hopelessly stranded in the jungle ,67.0,  adventure    action    romance    comedy  ,"['though', 'spin', 'wild', 'tale', 'passion', 'romanc', 'novelist', 'joan', 'wilder', 'life', 'one', 'day', 'adventur', 'come', 'way', 'form', 'mysteri', 'packag', 'turn', 'parcel', 'ransom', 'need', 'free', 'abduct', 'sister', 'joan', 'fli', 'south', 'america', 'hand', 'get', 'wrong', 'bu', 'wind', 'hopelessli', 'strand', 'jungl']"
monty python and the holy grail,king arthur  accompanied by his squire  recruits his knights of the round table  including sir bedevere the wise  sir lancelot the brave  sir robin the not quite so brave as sir lancelot and sir galahad the pure  on the way  arthur battles the black knight who  despite having had all his limbs chopped off  insists he can still fight  they reach camelot  but arthur decides not  to enter  as  it is a silly place  ,78.0,  adventure    comedy    fantasy  ,"['king', 'arthur', 'accompani', 'squir', 'recruit', 'knight', 'round', 'tabl', 'includ', 'sir', 'bedever', 'wise', 'sir', 'lancelot', 'brave', 'sir', 'robin', 'quit', 'brave', 'sir', 'lancelot', 'sir', 'galahad', 'pure', 'way', 'arthur', 'battl', 'black', 'knight', 'despit', 'limb', 'chop', 'insist', 'still', 'fight', 'reach', 'camelot', 'arthur', 'decid', 'enter', 'silli', 'place']"
killers,when an elite assassin marries a beautiful computer whiz after a whirlwind romance  he gives up the gun and settles down with his new bride  that is  until he learns that someone from his past has put a contract out on his life ,60.0,  action    comedy    thriller    romance  ,"['elit', 'assassin', 'marri', 'beauti', 'comput', 'whiz', 'whirlwind', 'romanc', 'give', 'gun', 'settl', 'new', 'bride', 'learn', 'someon', 'past', 'put', 'contract', 'life']"
"dude, where's my car?",two stoners wake up after a night of partying and cannot remember where they parked their car ,55.0,  comedy    science fiction  ,"['two', 'stoner', 'wake', 'night', 'parti', 'rememb', 'park', 'car']"
st. vincent,a young boy whose parents just divorced finds an unlikely friend and mentor in the misanthropic  bawdy  hedonistic  war veteran who lives next door ,71.0,  comedy  ,"['young', 'boy', 'whose', 'parent', 'divorc', 'find', 'unlik', 'friend', 'mentor', 'misanthrop', 'bawdi', 'hedonist', 'war', 'veteran', 'live', 'next', 'door']"
anaconda 3: offspring,cancer terminal tycoon peter murdoch s secret wexel hall pharmaceuticals lab has developed a blood orchid extract cure  to examine why it works optimally in snakes  they also bread a super anaconda strain  but the original pair escapes  leaving a bloody trail of corpses  murdoch runs  instructing his staff to clean up  they keep failing and being eaten like unsuspecting locals  some alive  even after enlisting ruthless big game hunter hammett  the fast growing pregnant monster sheds its skin  thus disabling the only tracking device ,48.0,  action    horror    adventure  ,"['cancer', 'termin', 'tycoon', 'peter', 'murdoch', 'secret', 'wexel', 'hall', 'pharmaceut', 'lab', 'develop', 'blood', 'orchid', 'extract', 'cure', 'examin', 'work', 'optim', 'snake', 'also', 'bread', 'super', 'anaconda', 'strain', 'origin', 'pair', 'escap', 'leav', 'bloodi', 'trail', 'corps', 'murdoch', 'run', 'instruct', 'staff', 'clean', 'keep', 'fail', 'eaten', 'like', 'unsuspect', 'local', 'aliv', 'even', 'enlist', 'ruthless', 'big', 'game', 'hunter', 'hammett', 'fast', 'grow', 'pregnant', 'monster', 'shed', 'skin', 'thu', 'disabl', 'track', 'devic']"
doomsday,the lethal reaper virus spreads throughout britain infecting millions and killing hundreds of thousands  authorities brutally and successfully quarantine the country but  three decades later  the virus resurfaces in a major city  an elite group of specialists is urgently dispatched into the still quarantined country to retrieve a cure by any means necessary  shut off from the rest of the world  the unit must battle through a landscape that has become a waking nightmare ,60.0,  action    thriller    science fiction  ,"['lethal', 'reaper', 'viru', 'spread', 'throughout', 'britain', 'infect', 'million', 'kill', 'hundr', 'thousand', 'author', 'brutal', 'success', 'quarantin', 'countri', 'three', 'decad', 'later', 'viru', 'resurfac', 'major', 'citi', 'elit', 'group', 'specialist', 'urgent', 'dispatch', 'still', 'quarantin', 'countri', 'retriev', 'cure', 'mean', 'necessari', 'shut', 'rest', 'world', 'unit', 'must', 'battl', 'landscap', 'becom', 'wake', 'nightmar']"
checkered ninja,a possessed ninja doll teams up with a teenage boy to avenge the murder of a poor child factory worker ,75.0,  animation    comedy    adventure    fantasy  ,"['possess', 'ninja', 'doll', 'team', 'teenag', 'boy', 'aveng', 'murder', 'poor', 'child', 'factori', 'worker']"
bartkowiak,after his brother dies in a car crash  a disgraced mma fighter takes over the family nightclub   and soon learns his sibling s death wasn t an accident ,62.0,  action    thriller  ,"['brother', 'die', 'car', 'crash', 'disgrac', 'mma', 'fighter', 'take', 'famili', 'nightclub', 'soon', 'learn', 'sibl', 'death', 'accid']"
the princess switch 3: romancing the star,a priceless relic is stolen from identical royals queen margaret and princess stacy  who enlist the help of their sketchy look alike cousin fiona pembroke to retrieve it ,69.0,  romance    comedy  ,"['priceless', 'relic', 'stolen', 'ident', 'royal', 'queen', 'margaret', 'princess', 'staci', 'enlist', 'help', 'sketchi', 'look', 'alik', 'cousin', 'fiona', 'pembrok', 'retriev']"
the green knight,an epic fantasy adventure based on the timeless arthurian legend  the green knight tells the story of sir gawain  king arthur s reckless and headstrong nephew  who embarks on a daring quest to confront the eponymous green knight  a gigantic emerald skinned stranger and tester of men ,66.0,  adventure    drama    fantasy  ,"['epic', 'fantasi', 'adventur', 'base', 'timeless', 'arthurian', 'legend', 'green', 'knight', 'tell', 'stori', 'sir', 'gawain', 'king', 'arthur', 'reckless', 'headstrong', 'nephew', 'embark', 'dare', 'quest', 'confront', 'eponym', 'green', 'knight', 'gigant', 'emerald', 'skin', 'stranger', 'tester', 'men']"
battle for the planet of the apes,the fifth and final episode in the planet of the apes series  after the collapse of human civilization  a community of intelligent apes led by caesar lives in harmony with a group of humans  gorilla general aldo tries to cause an ape civil war and a community of human mutants who live beneath a destroyed city try to conquer those whom they perceive as enemies  all leading to the finale ,57.0,  action    science fiction  ,"['fifth', 'final', 'episod', 'planet', 'ape', 'seri', 'collaps', 'human', 'civil', 'commun', 'intellig', 'ape', 'led', 'caesar', 'live', 'harmoni', 'group', 'human', 'gorilla', 'gener', 'aldo', 'tri', 'caus', 'ape', 'civil', 'war', 'commun', 'human', 'mutant', 'live', 'beneath', 'destroy', 'citi', 'tri', 'conquer', 'perceiv', 'enemi', 'lead', 'final']"
conan the destroyer,conan is commissioned by the evil queen taramis to safely escort a teen princess and her powerful bodyguard to a far away castle to retrieve the magic horn of dagoth  unknown to conan  the queen plans to sacrifice the princess when she returns and inherit her kingdom after the bodyguard kills conan  the queen s plans fail to take into consideration conan s strength and cunning and the abilities of his sidekicks  the eccentric wizard akiro  the warrior woman zula  and the inept malak  together the hero and his allies must defeat both mortal and supernatural foes in this voyage to sword and sorcery land ,61.0,  adventure    fantasy    action  ,"['conan', 'commiss', 'evil', 'queen', 'tarami', 'safe', 'escort', 'teen', 'princess', 'power', 'bodyguard', 'far', 'away', 'castl', 'retriev', 'magic', 'horn', 'dagoth', 'unknown', 'conan', 'queen', 'plan', 'sacrific', 'princess', 'return', 'inherit', 'kingdom', 'bodyguard', 'kill', 'conan', 'queen', 'plan', 'fail', 'take', 'consider', 'conan', 'strength', 'cun', 'abil', 'sidekick', 'eccentr', 'wizard', 'akiro', 'warrior', 'woman', 'zula', 'inept', 'malak', 'togeth', 'hero', 'alli', 'must', 'defeat', 'mortal', 'supernatur', 'foe', 'voyag', 'sword', 'sorceri', 'land']"
mercury rising,renegade fbi agent art jeffries protects a nine year old autistic boy who has cracked the government s new  unbreakable  code ,62.0,  action    crime    drama    thriller  ,"['renegad', 'fbi', 'agent', 'art', 'jeffri', 'protect', 'nine', 'year', 'old', 'autist', 'boy', 'crack', 'govern', 'new', 'unbreak', 'code']"
jawbreaker,when an exclusive clique of teenage socialites accidentally murder their best friend on the morning of her birthday  the three girls responsible conspire to hide the truth ,63.0,  comedy    crime  ,"['exclus', 'cliqu', 'teenag', 'socialit', 'accident', 'murder', 'best', 'friend', 'morn', 'birthday', 'three', 'girl', 'respons', 'conspir', 'hide', 'truth']"
the royal tenenbaums,royal tenenbaum and his wife etheline had three children and then they separated  all three children are extraordinary     all geniuses  virtually all memory of the brilliance of the young tenenbaums was subsequently erased by two decades of betrayal  failure  and disaster  most of this was generally considered to be their father s fault   the royal tenenbaums  is the story of the family s sudden  unexpected reunion one recent winter ,75.0,  comedy    drama  ,"['royal', 'tenenbaum', 'wife', 'ethelin', 'three', 'children', 'separ', 'three', 'children', 'extraordinari', 'genius', 'virtual', 'memori', 'brillianc', 'young', 'tenenbaum', 'subsequ', 'eras', 'two', 'decad', 'betray', 'failur', 'disast', 'gener', 'consid', 'father', 'fault', 'royal', 'tenenbaum', 'stori', 'famili', 'sudden', 'unexpect', 'reunion', 'one', 'recent', 'winter']"
the finest hours,the coast guard makes a daring rescue attempt off the coast of cape cod after a pair of oil tankers are destroyed during a blizzard in      ,66.0,  action    drama    history    thriller  ,"['coast', 'guard', 'make', 'dare', 'rescu', 'attempt', 'coast', 'cape', 'cod', 'pair', 'oil', 'tanker', 'destroy', 'blizzard']"
nineteen: shh! no imagining!,a smart finger movie about adult rated romance between young men and women who have total control over sns ,50.0,  drama    romance    comedy  ,"['smart', 'finger', 'movi', 'adult', 'rate', 'romanc', 'young', 'men', 'women', 'total', 'control', 'sn']"
monster trucks,tripp is a high school senior with a knack for building trucks who makes an incredible discovery   a gas guzzling creature named creech  to protect his mischievous new friend  tripp hides creech under the hood of his latest creation  turning it into a real life super powered monster truck  together  this unlikely duo with a shared taste for speed team up on a wild and unforgettable journey to reunite creech with his family ,61.0,  action    comedy    science fiction  ,"['tripp', 'high', 'school', 'senior', 'knack', 'build', 'truck', 'make', 'incred', 'discoveri', 'ga', 'guzzl', 'creatur', 'name', 'creech', 'protect', 'mischiev', 'new', 'friend', 'tripp', 'hide', 'creech', 'hood', 'latest', 'creation', 'turn', 'real', 'life', 'super', 'power', 'monster', 'truck', 'togeth', 'unlik', 'duo', 'share', 'tast', 'speed', 'team', 'wild', 'unforgett', 'journey', 'reunit', 'creech', 'famili']"
brick mansions,in a dystopian detroit  grand houses that once housed the wealthy are now homes of the city s most dangerous criminals  surrounding the area is a giant wall to keep the rest of detroit safe  for undercover cop damien collier  every day is a battle against corruption as he struggles to bring his father s killer  tremaine  to justice  meanwhile  damien and an ex con named lino work together to save the city from a plot to destroy it ,59.0,  action    crime    drama  ,"['dystopian', 'detroit', 'grand', 'hous', 'hous', 'wealthi', 'home', 'citi', 'danger', 'crimin', 'surround', 'area', 'giant', 'wall', 'keep', 'rest', 'detroit', 'safe', 'undercov', 'cop', 'damien', 'collier', 'everi', 'day', 'battl', 'corrupt', 'struggl', 'bring', 'father', 'killer', 'tremain', 'justic', 'meanwhil', 'damien', 'ex', 'con', 'name', 'lino', 'work', 'togeth', 'save', 'citi', 'plot', 'destroy']"
casino royale,sir james bond is called back out of retirement to stop smersh  in order to trick smersh  james thinks up the ultimate plan   that every agent will be named  james bond   one of the bonds  whose real name is evelyn tremble is sent to take on le chiffre in a game of baccarat  but all the bonds get more than they can handle ,53.0,  adventure    action    comedy  ,"['sir', 'jame', 'bond', 'call', 'back', 'retir', 'stop', 'smersh', 'order', 'trick', 'smersh', 'jame', 'think', 'ultim', 'plan', 'everi', 'agent', 'name', 'jame', 'bond', 'one', 'bond', 'whose', 'real', 'name', 'evelyn', 'trembl', 'sent', 'take', 'le', 'chiffr', 'game', 'baccarat', 'bond', 'get', 'handl']"
clash of the titans,to win the right to marry his love  the beautiful princess andromeda  and fulfil his destiny  half god half mortal perseus must complete various tasks including taming pegasus  capturing medusa s head and battling the feared kraken ,69.0,  action    adventure    fantasy    romance  ,"['win', 'right', 'marri', 'love', 'beauti', 'princess', 'andromeda', 'fulfil', 'destini', 'half', 'god', 'half', 'mortal', 'perseu', 'must', 'complet', 'variou', 'task', 'includ', 'tame', 'pegasu', 'captur', 'medusa', 'head', 'battl', 'fear', 'kraken']"
doraemon: nobita and the tin labyrinth,nobita s dad stumbled upon a strange advertisement of a fantastic resort on television at midnight  sleepy as he was  he made a reservation even though he didn t even realize he was talking to the advertisement  the next day he discussed with the family their holiday plans  only to realize he could not find the place anywhere on earth  all of a sudden though there was a suitcase in nobita s room and intrigued as he was  he opened it only to find a portal to a beautiful resort managed by tin robots  better still  it s absolutely free  it seems that there is a hidden agenda behind the person who invites them there ,72.0,  adventure    animation  ,"['nobita', 'dad', 'stumbl', 'upon', 'strang', 'advertis', 'fantast', 'resort', 'televis', 'midnight', 'sleepi', 'made', 'reserv', 'even', 'though', 'even', 'realiz', 'talk', 'advertis', 'next', 'day', 'discuss', 'famili', 'holiday', 'plan', 'realiz', 'could', 'find', 'place', 'anywher', 'earth', 'sudden', 'though', 'suitcas', 'nobita', 'room', 'intrigu', 'open', 'find', 'portal', 'beauti', 'resort', 'manag', 'tin', 'robot', 'better', 'still', 'absolut', 'free', 'seem', 'hidden', 'agenda', 'behind', 'person', 'invit']"
the cobbler,max simkin repairs shoes in the same new york shop that has been in his family for generations  disenchanted with the grind of daily life  max stumbles upon a magical heirloom that allows him to step into the lives of his customers and see the world in a new way  sometimes walking in another man s shoes is the only way one can discover who they really are ,58.0,  fantasy    comedy    drama  ,"['max', 'simkin', 'repair', 'shoe', 'new', 'york', 'shop', 'famili', 'gener', 'disench', 'grind', 'daili', 'life', 'max', 'stumbl', 'upon', 'magic', 'heirloom', 'allow', 'step', 'live', 'custom', 'see', 'world', 'new', 'way', 'sometim', 'walk', 'anoth', 'man', 'shoe', 'way', 'one', 'discov', 'realli']"
fullmetal alchemist the movie: conqueror of shamballa,munich  germany        two years have passed since edward elric was dragged from his own world to ours  leaving behind his country  his friends and his younger brother  alphonse  stripped of his alchemical powers  he has been all this time researching rocketry together with alphonse heiderich  a young man who resembles his own brother  hoping to one day find a way back home  his efforts so far had proven fruitless  but after lending a hand to a troubled gipsy girl  edward is thrown in a series of events that can wreak havoc in both worlds  meanwhile  at his own world  alphonse elric ventures deeper into the mysteries of alchemy in search for a way to reunite with his older brother ,72.0,  action    adventure    animation    drama  ,"['munich', 'germani', 'two', 'year', 'pass', 'sinc', 'edward', 'elric', 'drag', 'world', 'leav', 'behind', 'countri', 'friend', 'younger', 'brother', 'alphons', 'strip', 'alchem', 'power', 'time', 'research', 'rocketri', 'togeth', 'alphons', 'heiderich', 'young', 'man', 'resembl', 'brother', 'hope', 'one', 'day', 'find', 'way', 'back', 'home', 'effort', 'far', 'proven', 'fruitless', 'lend', 'hand', 'troubl', 'gipsi', 'girl', 'edward', 'thrown', 'seri', 'event', 'wreak', 'havoc', 'world', 'meanwhil', 'world', 'alphons', 'elric', 'ventur', 'deeper', 'mysteri', 'alchemi', 'search', 'way', 'reunit', 'older', 'brother']"
welcome to smelliville,the oggly family arrive at the municipal rubbish dump of smelliville and must look for a new home  but they never feel really welcome anywhere  they stink and are for most humans just a tad too oggly  when firebottom  the family dragon  crash lands on the run down rubbish tip of the small town of smelliville  the ogglies at once feel at home  and it s here they want to stay ,71.0,  animation    adventure    family    fantasy  ,"['oggli', 'famili', 'arriv', 'municip', 'rubbish', 'dump', 'smellivil', 'must', 'look', 'new', 'home', 'never', 'feel', 'realli', 'welcom', 'anywher', 'stink', 'human', 'tad', 'oggli', 'firebottom', 'famili', 'dragon', 'crash', 'land', 'run', 'rubbish', 'tip', 'small', 'town', 'smellivil', 'oggli', 'feel', 'home', 'want', 'stay']"
the fountain,spanning over one thousand years  and three parallel stories  the fountain is a story of love  death  spirituality  and the fragility of our existence in this world ,69.0,  drama    adventure    science fiction    romance  ,"['span', 'one', 'thousand', 'year', 'three', 'parallel', 'stori', 'fountain', 'stori', 'love', 'death', 'spiritu', 'fragil', 'exist', 'world']"
creepshow,inspired by the e c  comics of the     s  george a  romero and stephen king bring five tales of terror to the screen ,69.0,  horror    comedy  ,"['inspir', 'e', 'c', 'comic', 'georg', 'romero', 'stephen', 'king', 'bring', 'five', 'tale', 'terror', 'screen']"
sleeping beauties,awakened from a curse after     years  sleeping beauty  sarah hunter  marvels at the wonders of the new century  she falls in love with a famous architect who is working to restore the castle she once lived in  but finds there are enemies plotting against her  giving in to her long pent up sexual desires  beauty cannot resist the lustful advances of both men and women and after     years  she s ready to explore everything and everyone ,45.0,  fantasy    comedy  ,"['awaken', 'curs', 'year', 'sleep', 'beauti', 'sarah', 'hunter', 'marvel', 'wonder', 'new', 'centuri', 'fall', 'love', 'famou', 'architect', 'work', 'restor', 'castl', 'live', 'find', 'enemi', 'plot', 'give', 'long', 'pent', 'sexual', 'desir', 'beauti', 'resist', 'lust', 'advanc', 'men', 'women', 'year', 'readi', 'explor', 'everyth', 'everyon']"
"i love you, man",peter klaven is a successful real estate agent who  upon getting engaged to the woman of his dreams  zooey  discovers  to his dismay and chagrin  that he has no male friend close enough to serve as his best man  peter immediately sets out to rectify the situation  embarking on a series of bizarre and awkward  man dates  ,65.0,  comedy    romance  ,"['peter', 'klaven', 'success', 'real', 'estat', 'agent', 'upon', 'get', 'engag', 'woman', 'dream', 'zooey', 'discov', 'dismay', 'chagrin', 'male', 'friend', 'close', 'enough', 'serv', 'best', 'man', 'peter', 'immedi', 'set', 'rectifi', 'situat', 'embark', 'seri', 'bizarr', 'awkward', 'man', 'date']"
zoey's extraordinary christmas,on her first holiday without her father  zoey attempts to create a magical christmas for her family just like the ones mitch used to do ,67.0,  tv movie    comedy    music    drama  ,"['first', 'holiday', 'without', 'father', 'zoey', 'attempt', 'creat', 'magic', 'christma', 'famili', 'like', 'one', 'mitch', 'use']"
mia and the white lion,a young girl from london moves to africa with her parents where she befriends a lion cub ,73.0,  adventure    family    drama  ,"['young', 'girl', 'london', 'move', 'africa', 'parent', 'befriend', 'lion', 'cub']"
iron man & captain america: heroes united,iron man and captain america battle to keep the red skull and his triggerman  taskmaster  from unleashing an army of hydra brutes on the world   sequel to the film  iron man   hulk  heroes united  and feature iron man teaming up with captain america  it comes to accompany the live action film  captain america  the winter soldier  ,63.0,  adventure    animation    action  ,"['iron', 'man', 'captain', 'america', 'battl', 'keep', 'red', 'skull', 'triggerman', 'taskmast', 'unleash', 'armi', 'hydra', 'brute', 'world', 'sequel', 'film', 'iron', 'man', 'hulk', 'hero', 'unit', 'featur', 'iron', 'man', 'team', 'captain', 'america', 'come', 'accompani', 'live', 'action', 'film', 'captain', 'america', 'winter', 'soldier']"
a chinese odyssey part two: cinderella,this sequel to  pandora s box  continues director jeffrey lau s adaptation of the buddhism saga  journey to the west   stranded five centuries in the past  joker monkey king must battle a variety of monsters  seductive women and super powered villains to save the dying pak jing jing ,75.0,  comedy    fantasy    action    adventure    romance  ,"['sequel', 'pandora', 'box', 'continu', 'director', 'jeffrey', 'lau', 'adapt', 'buddhism', 'saga', 'journey', 'west', 'strand', 'five', 'centuri', 'past', 'joker', 'monkey', 'king', 'must', 'battl', 'varieti', 'monster', 'seduct', 'women', 'super', 'power', 'villain', 'save', 'die', 'pak', 'jing', 'jing']"
